panel,group,rho,trial,connected
gamma,1.5,0.5,0,0
gamma,1.5,1.0,0,0
gamma,1.5,1.5,0,0
gamma,1.5,2.0,0,0
gamma,1.5,2.5,0,0
gamma,1.5,3.0,0,0
gamma,1.5,3.5,0,0
gamma,1.5,4.0,0,1
gamma,1.5,4.5,0,1
gamma,1.5,5.0,0,1
gamma,1.5,0.5,1,0
gamma,1.5,1.0,1,0
gamma,1.5,1.5,1,0
gamma,1.5,2.0,1,0
gamma,1.5,2.5,1,0
gamma,1.5,3.0,1,1
gamma,1.5,3.5,1,1
gamma,1.5,4.0,1,1
gamma,1.5,4.5,1,1
gamma,1.5,5.0,1,1
gamma,1.5,0.5,2,0
gamma,1.5,1.0,2,0
gamma,1.5,1.5,2,0
gamma,1.5,2.0,2,0
gamma,1.5,2.5,2,0
gamma,1.5,3.0,2,1
gamma,1.5,3.5,2,1
gamma,1.5,4.0,2,1
gamma,1.5,4.5,2,1
gamma,1.5,5.0,2,1
gamma,1.5,0.5,3,0
gamma,1.5,1.0,3,0
gamma,1.5,1.5,3,0
gamma,1.5,2.0,3,0
gamma,1.5,2.5,3,1
gamma,1.5,3.0,3,1
gamma,1.5,3.5,3,1
gamma,1.5,4.0,3,1
gamma,1.5,4.5,3,1
gamma,1.5,5.0,3,1
gamma,1.5,0.5,4,0
gamma,1.5,1.0,4,0
gamma,1.5,1.5,4,0
gamma,1.5,2.0,4,0
gamma,1.5,2.5,4,0
gamma,1.5,3.0,4,1
gamma,1.5,3.5,4,1
gamma,1.5,4.0,4,1
gamma,1.5,4.5,4,1
gamma,1.5,5.0,4,1
gamma,1.5,0.5,5,0
gamma,1.5,1.0,5,0
gamma,1.5,1.5,5,0
gamma,1.5,2.0,5,0
gamma,1.5,2.5,5,0
gamma,1.5,3.0,5,1
gamma,1.5,3.5,5,1
gamma,1.5,4.0,5,1
gamma,1.5,4.5,5,1
gamma,1.5,5.0,5,1
gamma,1.5,0.5,6,0
gamma,1.5,1.0,6,0
gamma,1.5,1.5,6,0
gamma,1.5,2.0,6,0
gamma,1.5,2.5,6,0
gamma,1.5,3.0,6,1
gamma,1.5,3.5,6,1
gamma,1.5,4.0,6,1
gamma,1.5,4.5,6,1
gamma,1.5,5.0,6,1
gamma,1.5,0.5,7,0
gamma,1.5,1.0,7,0
gamma,1.5,1.5,7,0
gamma,1.5,2.0,7,0
gamma,1.5,2.5,7,0
gamma,1.5,3.0,7,1
gamma,1.5,3.5,7,1
gamma,1.5,4.0,7,1
gamma,1.5,4.5,7,1
gamma,1.5,5.0,7,1
gamma,1.5,0.5,8,0
gamma,1.5,1.0,8,0
gamma,1.5,1.5,8,0
gamma,1.5,2.0,8,0
gamma,1.5,2.5,8,1
gamma,1.5,3.0,8,1
gamma,1.5,3.5,8,1
gamma,1.5,4.0,8,1
gamma,1.5,4.5,8,1
gamma,1.5,5.0,8,1
gamma,1.5,0.5,9,0
gamma,1.5,1.0,9,0
gamma,1.5,1.5,9,0
gamma,1.5,2.0,9,0
gamma,1.5,2.5,9,0
gamma,1.5,3.0,9,1
gamma,1.5,3.5,9,1
gamma,1.5,4.0,9,1
gamma,1.5,4.5,9,1
gamma,1.5,5.0,9,1
gamma,1.5,0.5,10,0
gamma,1.5,1.0,10,0
gamma,1.5,1.5,10,0
gamma,1.5,2.0,10,0
gamma,1.5,2.5,10,1
gamma,1.5,3.0,10,1
gamma,1.5,3.5,10,1
gamma,1.5,4.0,10,1
gamma,1.5,4.5,10,1
gamma,1.5,5.0,10,1
gamma,1.5,0.5,11,0
gamma,1.5,1.0,11,0
gamma,1.5,1.5,11,0
gamma,1.5,2.0,11,0
gamma,1.5,2.5,11,0
gamma,1.5,3.0,11,1
gamma,1.5,3.5,11,1
gamma,1.5,4.0,11,1
gamma,1.5,4.5,11,1
gamma,1.5,5.0,11,1
gamma,1.5,0.5,12,0
gamma,1.5,1.0,12,0
gamma,1.5,1.5,12,0
gamma,1.5,2.0,12,0
gamma,1.5,2.5,12,0
gamma,1.5,3.0,12,0
gamma,1.5,3.5,12,1
gamma,1.5,4.0,12,1
gamma,1.5,4.5,12,1
gamma,1.5,5.0,12,1
gamma,1.5,0.5,13,0
gamma,1.5,1.0,13,0
gamma,1.5,1.5,13,0
gamma,1.5,2.0,13,0
gamma,1.5,2.5,13,0
gamma,1.5,3.0,13,1
gamma,1.5,3.5,13,1
gamma,1.5,4.0,13,1
gamma,1.5,4.5,13,1
gamma,1.5,5.0,13,1
gamma,1.5,0.5,14,0
gamma,1.5,1.0,14,0
gamma,1.5,1.5,14,0
gamma,1.5,2.0,14,0
gamma,1.5,2.5,14,0
gamma,1.5,3.0,14,1
gamma,1.5,3.5,14,1
gamma,1.5,4.0,14,1
gamma,1.5,4.5,14,1
gamma,1.5,5.0,14,1
gamma,1.5,0.5,15,0
gamma,1.5,1.0,15,0
gamma,1.5,1.5,15,0
gamma,1.5,2.0,15,0
gamma,1.5,2.5,15,0
gamma,1.5,3.0,15,0
gamma,1.5,3.5,15,1
gamma,1.5,4.0,15,1
gamma,1.5,4.5,15,1
gamma,1.5,5.0,15,1
gamma,1.5,0.5,16,0
gamma,1.5,1.0,16,0
gamma,1.5,1.5,16,0
gamma,1.5,2.0,16,0
gamma,1.5,2.5,16,1
gamma,1.5,3.0,16,1
gamma,1.5,3.5,16,1
gamma,1.5,4.0,16,1
gamma,1.5,4.5,16,1
gamma,1.5,5.0,16,1
gamma,1.5,0.5,17,0
gamma,1.5,1.0,17,0
gamma,1.5,1.5,17,0
gamma,1.5,2.0,17,0
gamma,1.5,2.5,17,0
gamma,1.5,3.0,17,1
gamma,1.5,3.5,17,1
gamma,1.5,4.0,17,1
gamma,1.5,4.5,17,1
gamma,1.5,5.0,17,1
gamma,1.5,0.5,18,0
gamma,1.5,1.0,18,0
gamma,1.5,1.5,18,0
gamma,1.5,2.0,18,0
gamma,1.5,2.5,18,0
gamma,1.5,3.0,18,0
gamma,1.5,3.5,18,0
gamma,1.5,4.0,18,0
gamma,1.5,4.5,18,1
gamma,1.5,5.0,18,1
gamma,1.5,0.5,19,0
gamma,1.5,1.0,19,0
gamma,1.5,1.5,19,0
gamma,1.5,2.0,19,0
gamma,1.5,2.5,19,0
gamma,1.5,3.0,19,1
gamma,1.5,3.5,19,1
gamma,1.5,4.0,19,1
gamma,1.5,4.5,19,1
gamma,1.5,5.0,19,1
gamma,1.5,0.5,20,0
gamma,1.5,1.0,20,0
gamma,1.5,1.5,20,0
gamma,1.5,2.0,20,0
gamma,1.5,2.5,20,0
gamma,1.5,3.0,20,1
gamma,1.5,3.5,20,1
gamma,1.5,4.0,20,1
gamma,1.5,4.5,20,1
gamma,1.5,5.0,20,1
gamma,1.5,0.5,21,0
gamma,1.5,1.0,21,0
gamma,1.5,1.5,21,0
gamma,1.5,2.0,21,0
gamma,1.5,2.5,21,0
gamma,1.5,3.0,21,0
gamma,1.5,3.5,21,1
gamma,1.5,4.0,21,1
gamma,1.5,4.5,21,1
gamma,1.5,5.0,21,1
gamma,1.5,0.5,22,0
gamma,1.5,1.0,22,0
gamma,1.5,1.5,22,0
gamma,1.5,2.0,22,0
gamma,1.5,2.5,22,0
gamma,1.5,3.0,22,1
gamma,1.5,3.5,22,1
gamma,1.5,4.0,22,1
gamma,1.5,4.5,22,1
gamma,1.5,5.0,22,1
gamma,1.5,0.5,23,0
gamma,1.5,1.0,23,0
gamma,1.5,1.5,23,0
gamma,1.5,2.0,23,0
gamma,1.5,2.5,23,0
gamma,1.5,3.0,23,1
gamma,1.5,3.5,23,1
gamma,1.5,4.0,23,1
gamma,1.5,4.5,23,1
gamma,1.5,5.0,23,1
gamma,1.5,0.5,24,0
gamma,1.5,1.0,24,0
gamma,1.5,1.5,24,0
gamma,1.5,2.0,24,0
gamma,1.5,2.5,24,0
gamma,1.5,3.0,24,1
gamma,1.5,3.5,24,1
gamma,1.5,4.0,24,1
gamma,1.5,4.5,24,1
gamma,1.5,5.0,24,1
gamma,1.5,0.5,25,0
gamma,1.5,1.0,25,0
gamma,1.5,1.5,25,0
gamma,1.5,2.0,25,0
gamma,1.5,2.5,25,1
gamma,1.5,3.0,25,1
gamma,1.5,3.5,25,1
gamma,1.5,4.0,25,1
gamma,1.5,4.5,25,1
gamma,1.5,5.0,25,1
gamma,1.5,0.5,26,0
gamma,1.5,1.0,26,0
gamma,1.5,1.5,26,0
gamma,1.5,2.0,26,0
gamma,1.5,2.5,26,0
gamma,1.5,3.0,26,0
gamma,1.5,3.5,26,1
gamma,1.5,4.0,26,1
gamma,1.5,4.5,26,1
gamma,1.5,5.0,26,1
gamma,1.5,0.5,27,0
gamma,1.5,1.0,27,0
gamma,1.5,1.5,27,0
gamma,1.5,2.0,27,0
gamma,1.5,2.5,27,1
gamma,1.5,3.0,27,1
gamma,1.5,3.5,27,1
gamma,1.5,4.0,27,1
gamma,1.5,4.5,27,1
gamma,1.5,5.0,27,1
gamma,1.5,0.5,28,0
gamma,1.5,1.0,28,0
gamma,1.5,1.5,28,0
gamma,1.5,2.0,28,0
gamma,1.5,2.5,28,0
gamma,1.5,3.0,28,0
gamma,1.5,3.5,28,1
gamma,1.5,4.0,28,1
gamma,1.5,4.5,28,1
gamma,1.5,5.0,28,1
gamma,1.5,0.5,29,0
gamma,1.5,1.0,29,0
gamma,1.5,1.5,29,0
gamma,1.5,2.0,29,0
gamma,1.5,2.5,29,0
gamma,1.5,3.0,29,1
gamma,1.5,3.5,29,1
gamma,1.5,4.0,29,1
gamma,1.5,4.5,29,1
gamma,1.5,5.0,29,1
gamma,1.5,0.5,30,0
gamma,1.5,1.0,30,0
gamma,1.5,1.5,30,0
gamma,1.5,2.0,30,0
gamma,1.5,2.5,30,0
gamma,1.5,3.0,30,1
gamma,1.5,3.5,30,1
gamma,1.5,4.0,30,1
gamma,1.5,4.5,30,1
gamma,1.5,5.0,30,1
gamma,1.5,0.5,31,0
gamma,1.5,1.0,31,0
gamma,1.5,1.5,31,0
gamma,1.5,2.0,31,0
gamma,1.5,2.5,31,0
gamma,1.5,3.0,31,0
gamma,1.5,3.5,31,1
gamma,1.5,4.0,31,1
gamma,1.5,4.5,31,1
gamma,1.5,5.0,31,1
gamma,1.5,0.5,32,0
gamma,1.5,1.0,32,0
gamma,1.5,1.5,32,0
gamma,1.5,2.0,32,0
gamma,1.5,2.5,32,0
gamma,1.5,3.0,32,1
gamma,1.5,3.5,32,1
gamma,1.5,4.0,32,1
gamma,1.5,4.5,32,1
gamma,1.5,5.0,32,1
gamma,1.5,0.5,33,0
gamma,1.5,1.0,33,0
gamma,1.5,1.5,33,0
gamma,1.5,2.0,33,0
gamma,1.5,2.5,33,0
gamma,1.5,3.0,33,1
gamma,1.5,3.5,33,1
gamma,1.5,4.0,33,1
gamma,1.5,4.5,33,1
gamma,1.5,5.0,33,1
gamma,1.5,0.5,34,0
gamma,1.5,1.0,34,0
gamma,1.5,1.5,34,0
gamma,1.5,2.0,34,0
gamma,1.5,2.5,34,0
gamma,1.5,3.0,34,1
gamma,1.5,3.5,34,1
gamma,1.5,4.0,34,1
gamma,1.5,4.5,34,1
gamma,1.5,5.0,34,1
gamma,1.5,0.5,35,0
gamma,1.5,1.0,35,0
gamma,1.5,1.5,35,0
gamma,1.5,2.0,35,0
gamma,1.5,2.5,35,0
gamma,1.5,3.0,35,0
gamma,1.5,3.5,35,1
gamma,1.5,4.0,35,1
gamma,1.5,4.5,35,1
gamma,1.5,5.0,35,1
gamma,1.5,0.5,36,0
gamma,1.5,1.0,36,0
gamma,1.5,1.5,36,0
gamma,1.5,2.0,36,1
gamma,1.5,2.5,36,1
gamma,1.5,3.0,36,1
gamma,1.5,3.5,36,1
gamma,1.5,4.0,36,1
gamma,1.5,4.5,36,1
gamma,1.5,5.0,36,1
gamma,1.5,0.5,37,0
gamma,1.5,1.0,37,0
gamma,1.5,1.5,37,0
gamma,1.5,2.0,37,0
gamma,1.5,2.5,37,0
gamma,1.5,3.0,37,1
gamma,1.5,3.5,37,1
gamma,1.5,4.0,37,1
gamma,1.5,4.5,37,1
gamma,1.5,5.0,37,1
gamma,1.5,0.5,38,0
gamma,1.5,1.0,38,0
gamma,1.5,1.5,38,0
gamma,1.5,2.0,38,0
gamma,1.5,2.5,38,0
gamma,1.5,3.0,38,1
gamma,1.5,3.5,38,1
gamma,1.5,4.0,38,1
gamma,1.5,4.5,38,1
gamma,1.5,5.0,38,1
gamma,1.5,0.5,39,0
gamma,1.5,1.0,39,0
gamma,1.5,1.5,39,0
gamma,1.5,2.0,39,0
gamma,1.5,2.5,39,1
gamma,1.5,3.0,39,1
gamma,1.5,3.5,39,1
gamma,1.5,4.0,39,1
gamma,1.5,4.5,39,1
gamma,1.5,5.0,39,1
gamma,1.5,0.5,40,0
gamma,1.5,1.0,40,0
gamma,1.5,1.5,40,0
gamma,1.5,2.0,40,0
gamma,1.5,2.5,40,0
gamma,1.5,3.0,40,0
gamma,1.5,3.5,40,1
gamma,1.5,4.0,40,1
gamma,1.5,4.5,40,1
gamma,1.5,5.0,40,1
gamma,1.5,0.5,41,0
gamma,1.5,1.0,41,0
gamma,1.5,1.5,41,0
gamma,1.5,2.0,41,0
gamma,1.5,2.5,41,0
gamma,1.5,3.0,41,1
gamma,1.5,3.5,41,1
gamma,1.5,4.0,41,1
gamma,1.5,4.5,41,1
gamma,1.5,5.0,41,1
gamma,1.5,0.5,42,0
gamma,1.5,1.0,42,0
gamma,1.5,1.5,42,0
gamma,1.5,2.0,42,0
gamma,1.5,2.5,42,0
gamma,1.5,3.0,42,0
gamma,1.5,3.5,42,1
gamma,1.5,4.0,42,1
gamma,1.5,4.5,42,1
gamma,1.5,5.0,42,1
gamma,1.5,0.5,43,0
gamma,1.5,1.0,43,0
gamma,1.5,1.5,43,0
gamma,1.5,2.0,43,0
gamma,1.5,2.5,43,0
gamma,1.5,3.0,43,0
gamma,1.5,3.5,43,0
gamma,1.5,4.0,43,0
gamma,1.5,4.5,43,1
gamma,1.5,5.0,43,1
gamma,1.5,0.5,44,0
gamma,1.5,1.0,44,0
gamma,1.5,1.5,44,0
gamma,1.5,2.0,44,0
gamma,1.5,2.5,44,1
gamma,1.5,3.0,44,1
gamma,1.5,3.5,44,1
gamma,1.5,4.0,44,1
gamma,1.5,4.5,44,1
gamma,1.5,5.0,44,1
gamma,1.5,0.5,45,0
gamma,1.5,1.0,45,0
gamma,1.5,1.5,45,0
gamma,1.5,2.0,45,0
gamma,1.5,2.5,45,0
gamma,1.5,3.0,45,0
gamma,1.5,3.5,45,1
gamma,1.5,4.0,45,1
gamma,1.5,4.5,45,1
gamma,1.5,5.0,45,1
gamma,1.5,0.5,46,0
gamma,1.5,1.0,46,0
gamma,1.5,1.5,46,0
gamma,1.5,2.0,46,0
gamma,1.5,2.5,46,0
gamma,1.5,3.0,46,1
gamma,1.5,3.5,46,1
gamma,1.5,4.0,46,1
gamma,1.5,4.5,46,1
gamma,1.5,5.0,46,1
gamma,1.5,0.5,47,0
gamma,1.5,1.0,47,0
gamma,1.5,1.5,47,0
gamma,1.5,2.0,47,0
gamma,1.5,2.5,47,0
gamma,1.5,3.0,47,0
gamma,1.5,3.5,47,1
gamma,1.5,4.0,47,1
gamma,1.5,4.5,47,1
gamma,1.5,5.0,47,1
gamma,1.5,0.5,48,0
gamma,1.5,1.0,48,0
gamma,1.5,1.5,48,0
gamma,1.5,2.0,48,0
gamma,1.5,2.5,48,0
gamma,1.5,3.0,48,0
gamma,1.5,3.5,48,1
gamma,1.5,4.0,48,1
gamma,1.5,4.5,48,1
gamma,1.5,5.0,48,1
gamma,1.5,0.5,49,0
gamma,1.5,1.0,49,0
gamma,1.5,1.5,49,0
gamma,1.5,2.0,49,0
gamma,1.5,2.5,49,0
gamma,1.5,3.0,49,0
gamma,1.5,3.5,49,0
gamma,1.5,4.0,49,1
gamma,1.5,4.5,49,1
gamma,1.5,5.0,49,1
gamma,1.5,0.5,50,0
gamma,1.5,1.0,50,0
gamma,1.5,1.5,50,0
gamma,1.5,2.0,50,0
gamma,1.5,2.5,50,0
gamma,1.5,3.0,50,1
gamma,1.5,3.5,50,1
gamma,1.5,4.0,50,1
gamma,1.5,4.5,50,1
gamma,1.5,5.0,50,1
gamma,1.5,0.5,51,0
gamma,1.5,1.0,51,0
gamma,1.5,1.5,51,0
gamma,1.5,2.0,51,0
gamma,1.5,2.5,51,0
gamma,1.5,3.0,51,0
gamma,1.5,3.5,51,0
gamma,1.5,4.0,51,1
gamma,1.5,4.5,51,1
gamma,1.5,5.0,51,1
gamma,1.5,0.5,52,0
gamma,1.5,1.0,52,0
gamma,1.5,1.5,52,0
gamma,1.5,2.0,52,0
gamma,1.5,2.5,52,0
gamma,1.5,3.0,52,0
gamma,1.5,3.5,52,0
gamma,1.5,4.0,52,1
gamma,1.5,4.5,52,1
gamma,1.5,5.0,52,1
gamma,1.5,0.5,53,0
gamma,1.5,1.0,53,0
gamma,1.5,1.5,53,0
gamma,1.5,2.0,53,0
gamma,1.5,2.5,53,0
gamma,1.5,3.0,53,1
gamma,1.5,3.5,53,1
gamma,1.5,4.0,53,1
gamma,1.5,4.5,53,1
gamma,1.5,5.0,53,1
gamma,1.5,0.5,54,0
gamma,1.5,1.0,54,0
gamma,1.5,1.5,54,0
gamma,1.5,2.0,54,0
gamma,1.5,2.5,54,1
gamma,1.5,3.0,54,1
gamma,1.5,3.5,54,1
gamma,1.5,4.0,54,1
gamma,1.5,4.5,54,1
gamma,1.5,5.0,54,1
gamma,1.5,0.5,55,0
gamma,1.5,1.0,55,0
gamma,1.5,1.5,55,0
gamma,1.5,2.0,55,0
gamma,1.5,2.5,55,1
gamma,1.5,3.0,55,1
gamma,1.5,3.5,55,1
gamma,1.5,4.0,55,1
gamma,1.5,4.5,55,1
gamma,1.5,5.0,55,1
gamma,1.5,0.5,56,0
gamma,1.5,1.0,56,0
gamma,1.5,1.5,56,0
gamma,1.5,2.0,56,0
gamma,1.5,2.5,56,0
gamma,1.5,3.0,56,1
gamma,1.5,3.5,56,1
gamma,1.5,4.0,56,1
gamma,1.5,4.5,56,1
gamma,1.5,5.0,56,1
gamma,1.5,0.5,57,0
gamma,1.5,1.0,57,0
gamma,1.5,1.5,57,0
gamma,1.5,2.0,57,0
gamma,1.5,2.5,57,0
gamma,1.5,3.0,57,0
gamma,1.5,3.5,57,1
gamma,1.5,4.0,57,1
gamma,1.5,4.5,57,1
gamma,1.5,5.0,57,1
gamma,1.5,0.5,58,0
gamma,1.5,1.0,58,0
gamma,1.5,1.5,58,0
gamma,1.5,2.0,58,0
gamma,1.5,2.5,58,1
gamma,1.5,3.0,58,1
gamma,1.5,3.5,58,1
gamma,1.5,4.0,58,1
gamma,1.5,4.5,58,1
gamma,1.5,5.0,58,1
gamma,1.5,0.5,59,0
gamma,1.5,1.0,59,0
gamma,1.5,1.5,59,0
gamma,1.5,2.0,59,0
gamma,1.5,2.5,59,1
gamma,1.5,3.0,59,1
gamma,1.5,3.5,59,1
gamma,1.5,4.0,59,1
gamma,1.5,4.5,59,1
gamma,1.5,5.0,59,1
gamma,1.5,0.5,60,0
gamma,1.5,1.0,60,0
gamma,1.5,1.5,60,0
gamma,1.5,2.0,60,0
gamma,1.5,2.5,60,0
gamma,1.5,3.0,60,0
gamma,1.5,3.5,60,0
gamma,1.5,4.0,60,0
gamma,1.5,4.5,60,0
gamma,1.5,5.0,60,1
gamma,1.5,0.5,61,0
gamma,1.5,1.0,61,0
gamma,1.5,1.5,61,0
gamma,1.5,2.0,61,0
gamma,1.5,2.5,61,1
gamma,1.5,3.0,61,1
gamma,1.5,3.5,61,1
gamma,1.5,4.0,61,1
gamma,1.5,4.5,61,1
gamma,1.5,5.0,61,1
gamma,1.5,0.5,62,0
gamma,1.5,1.0,62,0
gamma,1.5,1.5,62,0
gamma,1.5,2.0,62,0
gamma,1.5,2.5,62,0
gamma,1.5,3.0,62,1
gamma,1.5,3.5,62,1
gamma,1.5,4.0,62,1
gamma,1.5,4.5,62,1
gamma,1.5,5.0,62,1
gamma,1.5,0.5,63,0
gamma,1.5,1.0,63,0
gamma,1.5,1.5,63,0
gamma,1.5,2.0,63,0
gamma,1.5,2.5,63,0
gamma,1.5,3.0,63,0
gamma,1.5,3.5,63,1
gamma,1.5,4.0,63,1
gamma,1.5,4.5,63,1
gamma,1.5,5.0,63,1
gamma,1.5,0.5,64,0
gamma,1.5,1.0,64,0
gamma,1.5,1.5,64,0
gamma,1.5,2.0,64,0
gamma,1.5,2.5,64,1
gamma,1.5,3.0,64,1
gamma,1.5,3.5,64,1
gamma,1.5,4.0,64,1
gamma,1.5,4.5,64,1
gamma,1.5,5.0,64,1
gamma,1.5,0.5,65,0
gamma,1.5,1.0,65,0
gamma,1.5,1.5,65,0
gamma,1.5,2.0,65,0
gamma,1.5,2.5,65,0
gamma,1.5,3.0,65,0
gamma,1.5,3.5,65,1
gamma,1.5,4.0,65,1
gamma,1.5,4.5,65,1
gamma,1.5,5.0,65,1
gamma,1.5,0.5,66,0
gamma,1.5,1.0,66,0
gamma,1.5,1.5,66,0
gamma,1.5,2.0,66,0
gamma,1.5,2.5,66,0
gamma,1.5,3.0,66,0
gamma,1.5,3.5,66,1
gamma,1.5,4.0,66,1
gamma,1.5,4.5,66,1
gamma,1.5,5.0,66,1
gamma,1.5,0.5,67,0
gamma,1.5,1.0,67,0
gamma,1.5,1.5,67,0
gamma,1.5,2.0,67,0
gamma,1.5,2.5,67,0
gamma,1.5,3.0,67,0
gamma,1.5,3.5,67,1
gamma,1.5,4.0,67,1
gamma,1.5,4.5,67,1
gamma,1.5,5.0,67,1
gamma,1.5,0.5,68,0
gamma,1.5,1.0,68,0
gamma,1.5,1.5,68,0
gamma,1.5,2.0,68,0
gamma,1.5,2.5,68,0
gamma,1.5,3.0,68,1
gamma,1.5,3.5,68,1
gamma,1.5,4.0,68,1
gamma,1.5,4.5,68,1
gamma,1.5,5.0,68,1
gamma,1.5,0.5,69,0
gamma,1.5,1.0,69,0
gamma,1.5,1.5,69,0
gamma,1.5,2.0,69,0
gamma,1.5,2.5,69,0
gamma,1.5,3.0,69,1
gamma,1.5,3.5,69,1
gamma,1.5,4.0,69,1
gamma,1.5,4.5,69,1
gamma,1.5,5.0,69,1
gamma,1.5,0.5,70,0
gamma,1.5,1.0,70,0
gamma,1.5,1.5,70,0
gamma,1.5,2.0,70,0
gamma,1.5,2.5,70,1
gamma,1.5,3.0,70,1
gamma,1.5,3.5,70,1
gamma,1.5,4.0,70,1
gamma,1.5,4.5,70,1
gamma,1.5,5.0,70,1
gamma,1.5,0.5,71,0
gamma,1.5,1.0,71,0
gamma,1.5,1.5,71,0
gamma,1.5,2.0,71,0
gamma,1.5,2.5,71,0
gamma,1.5,3.0,71,0
gamma,1.5,3.5,71,0
gamma,1.5,4.0,71,0
gamma,1.5,4.5,71,1
gamma,1.5,5.0,71,1
gamma,1.5,0.5,72,0
gamma,1.5,1.0,72,0
gamma,1.5,1.5,72,0
gamma,1.5,2.0,72,0
gamma,1.5,2.5,72,0
gamma,1.5,3.0,72,0
gamma,1.5,3.5,72,0
gamma,1.5,4.0,72,0
gamma,1.5,4.5,72,0
gamma,1.5,5.0,72,0
gamma,1.5,0.5,73,0
gamma,1.5,1.0,73,0
gamma,1.5,1.5,73,0
gamma,1.5,2.0,73,0
gamma,1.5,2.5,73,0
gamma,1.5,3.0,73,1
gamma,1.5,3.5,73,1
gamma,1.5,4.0,73,1
gamma,1.5,4.5,73,1
gamma,1.5,5.0,73,1
gamma,1.5,0.5,74,0
gamma,1.5,1.0,74,0
gamma,1.5,1.5,74,0
gamma,1.5,2.0,74,0
gamma,1.5,2.5,74,0
gamma,1.5,3.0,74,0
gamma,1.5,3.5,74,1
gamma,1.5,4.0,74,1
gamma,1.5,4.5,74,1
gamma,1.5,5.0,74,1
gamma,1.5,0.5,75,0
gamma,1.5,1.0,75,0
gamma,1.5,1.5,75,0
gamma,1.5,2.0,75,0
gamma,1.5,2.5,75,0
gamma,1.5,3.0,75,1
gamma,1.5,3.5,75,1
gamma,1.5,4.0,75,1
gamma,1.5,4.5,75,1
gamma,1.5,5.0,75,1
gamma,1.5,0.5,76,0
gamma,1.5,1.0,76,0
gamma,1.5,1.5,76,0
gamma,1.5,2.0,76,0
gamma,1.5,2.5,76,1
gamma,1.5,3.0,76,1
gamma,1.5,3.5,76,1
gamma,1.5,4.0,76,1
gamma,1.5,4.5,76,1
gamma,1.5,5.0,76,1
gamma,1.5,0.5,77,0
gamma,1.5,1.0,77,0
gamma,1.5,1.5,77,0
gamma,1.5,2.0,77,0
gamma,1.5,2.5,77,1
gamma,1.5,3.0,77,1
gamma,1.5,3.5,77,1
gamma,1.5,4.0,77,1
gamma,1.5,4.5,77,1
gamma,1.5,5.0,77,1
gamma,1.5,0.5,78,0
gamma,1.5,1.0,78,0
gamma,1.5,1.5,78,0
gamma,1.5,2.0,78,0
gamma,1.5,2.5,78,0
gamma,1.5,3.0,78,1
gamma,1.5,3.5,78,1
gamma,1.5,4.0,78,1
gamma,1.5,4.5,78,1
gamma,1.5,5.0,78,1
gamma,1.5,0.5,79,0
gamma,1.5,1.0,79,0
gamma,1.5,1.5,79,0
gamma,1.5,2.0,79,0
gamma,1.5,2.5,79,0
gamma,1.5,3.0,79,0
gamma,1.5,3.5,79,0
gamma,1.5,4.0,79,1
gamma,1.5,4.5,79,1
gamma,1.5,5.0,79,1
gamma,2.0,0.5,0,0
smax,5,0.5,0,0
gamma,2.0,1.0,0,0
smax,5,1.0,0,0
gamma,2.0,1.5,0,0
smax,5,1.5,0,0
gamma,2.0,2.0,0,0
smax,5,2.0,0,0
gamma,2.0,2.5,0,0
smax,5,2.5,0,0
gamma,2.0,3.0,0,0
smax,5,3.0,0,0
gamma,2.0,3.5,0,1
smax,5,3.5,0,1
gamma,2.0,4.0,0,1
smax,5,4.0,0,1
gamma,2.0,4.5,0,1
smax,5,4.5,0,1
gamma,2.0,5.0,0,1
smax,5,5.0,0,1
gamma,2.0,0.5,1,0
smax,5,0.5,1,0
gamma,2.0,1.0,1,0
smax,5,1.0,1,0
gamma,2.0,1.5,1,0
smax,5,1.5,1,0
gamma,2.0,2.0,1,0
smax,5,2.0,1,0
gamma,2.0,2.5,1,0
smax,5,2.5,1,0
gamma,2.0,3.0,1,1
smax,5,3.0,1,1
gamma,2.0,3.5,1,1
smax,5,3.5,1,1
gamma,2.0,4.0,1,1
smax,5,4.0,1,1
gamma,2.0,4.5,1,1
smax,5,4.5,1,1
gamma,2.0,5.0,1,1
smax,5,5.0,1,1
gamma,2.0,0.5,2,0
smax,5,0.5,2,0
gamma,2.0,1.0,2,0
smax,5,1.0,2,0
gamma,2.0,1.5,2,0
smax,5,1.5,2,0
gamma,2.0,2.0,2,0
smax,5,2.0,2,0
gamma,2.0,2.5,2,0
smax,5,2.5,2,0
gamma,2.0,3.0,2,1
smax,5,3.0,2,1
gamma,2.0,3.5,2,1
smax,5,3.5,2,1
gamma,2.0,4.0,2,1
smax,5,4.0,2,1
gamma,2.0,4.5,2,1
smax,5,4.5,2,1
gamma,2.0,5.0,2,1
smax,5,5.0,2,1
gamma,2.0,0.5,3,0
smax,5,0.5,3,0
gamma,2.0,1.0,3,0
smax,5,1.0,3,0
gamma,2.0,1.5,3,0
smax,5,1.5,3,0
gamma,2.0,2.0,3,0
smax,5,2.0,3,0
gamma,2.0,2.5,3,0
smax,5,2.5,3,0
gamma,2.0,3.0,3,0
smax,5,3.0,3,0
gamma,2.0,3.5,3,1
smax,5,3.5,3,1
gamma,2.0,4.0,3,1
smax,5,4.0,3,1
gamma,2.0,4.5,3,1
smax,5,4.5,3,1
gamma,2.0,5.0,3,1
smax,5,5.0,3,1
gamma,2.0,0.5,4,0
